dt,macd,dif,dea
2022-02-11 09:10:00,630.959,394.349,78.870
2022-02-11 09:15:00,992.171,698.977,202.891
2022-02-11 09:20:00,1162.228,929.284,348.170
2022-02-11 09:25:00,1201.668,1099.212,498.378
2022-02-11 09:30:00,1153.928,1219.583,642.619
2022-02-11 09:35:00,1052.304,1300.309,774.157
2022-02-11 09:40:00,920.090,1349.213,889.169
2022-02-11 09:45:00,773.156,1372.391,985.813
2022-02-11 09:50:00,620.399,1373.563,1063.363
2022-02-11 09:55:00,474.011,1359.620,1122.614
2022-02-11 10:00:00,337.955,1333.836,1164.859
2022-02-11 10:05:00,215.116,1299.306,1191.748
2022-02-11 10:10:00,104.610,1257.129,1204.824
2022-02-11 10:15:00,7.894,1209.758,1205.811
2022-02-11 10:35:00,-74.491,1159.254,1196.500
2022-02-11 10:40:00,-144.548,1106.158,1178.431
2022-02-11 10:45:00,-201.733,1052.348,1153.215
2022-02-11 10:50:00,-248.536,997.880,1122.148
2022-02-11 10:55:00,-285.556,943.675,1086.453
2022-02-11 11:00:00,-313.474,890.532,1047.269
2022-02-11 11:05:00,-335.156,837.797,1005.375
2022-02-11 11:10:00,-350.016,786.615,961.623
2022-02-11 11:15:00,-359.783,736.758,916.650
2022-02-11 11:20:00,-364.392,688.905,871.101
2022-02-11 11:25:00,-362.541,644.513,825.783
2022-02-11 11:30:00,-356.672,602.863,781.199
2022-02-11 13:35:00,-348.793,563.203,737.600
2022-02-11 13:40:00,-336.865,527.060,695.492
2022-02-11 13:45:00,-324.664,492.577,654.909
2022-02-11 13:50:00,-310.417,460.898,616.107
2022-02-11 13:55:00,-297.463,430.193,578.924
2022-02-11 14:00:00,-284.813,400.916,543.322
2022-02-11 14:05:00,-272.368,373.092,509.276
2022-02-11 14:10:00,-260.590,346.407,476.703
2022-02-11 14:15:00,-247.859,321.791,445.720
2022-02-11 14:20:00,-235.394,298.599,416.296
2022-02-11 14:25:00,-223.466,276.630,388.363
2022-02-11 14:30:00,-211.863,255.948,361.880
2022-02-11 14:35:00,-200.210,236.749,336.854
2022-02-11 14:40:00,-188.933,218.770,313.237
2022-02-11 14:45:00,-178.306,201.795,290.949
2022-02-11 14:50:00,-168.491,185.642,269.887
2022-02-11 14:55:00,-158.301,170.949,250.100
2022-02-11 15:00:00,-154.769,153.369,230.753
2022-02-11 21:05:00,-151.566,136.025,211.808
2022-02-11 21:10:00,-145.729,120.727,193.592
2022-02-11 21:15:00,-136.693,108.159,176.505
2022-02-11 21:20:00,-127.082,97.079,160.620
2022-02-11 21:25:00,-118.593,86.499,145.796
2022-02-11 21:30:00,-110.474,76.749,131.986
2022-02-11 21:35:00,-102.381,67.998,119.189
2022-02-11 21:40:00,-94.876,59.891,107.329
2022-02-11 21:45:00,-86.775,53.095,96.482
2022-02-11 21:50:00,-80.302,46.293,86.445
2022-02-11 21:55:00,-76.021,38.931,76.942
2022-02-11 22:00:00,-69.107,33.750,68.303
2022-02-11 22:05:00,-59.861,30.891,60.821
2022-02-11 22:10:00,-50.641,29.170,54.491
2022-02-11 22:15:00,-46.245,25.588,48.710
2022-02-11 22:20:00,-40.938,23.124,43.593
2022-02-11 22:25:00,-35.120,21.643,39.203
2022-02-11 22:30:00,-31.235,19.681,35.298
2022-02-11 22:35:00,-26.031,19.029,32.045
2022-02-11 22:40:00,-20.847,19.015,29.439
2022-02-11 22:45:00,-18.184,18.074,27.166
2022-02-11 22:50:00,-16.817,16.655,25.064
2022-02-11 22:55:00,-18.832,13.293,22.710
2022-02-11 23:00:00,-19.523,10.508,20.269
2022-02-14 09:05:00,-15.497,10.583,18.332
2022-02-14 09:10:00,-14.906,9.016,16.469
2022-02-14 09:15:00,-13.420,8.082,14.791
2022-02-14 09:20:00,-12.181,7.178,13.269
2022-02-14 09:25:00,-9.487,7.340,12.083
2022-02-14 09:30:00,-8.662,6.669,11.000
2022-02-14 09:35:00,-6.877,6.702,10.141
2022-02-14 09:40:00,-5.964,6.413,9.395
2022-02-14 09:45:00,-5.123,6.194,8.755
2022-02-14 09:50:00,-3.092,6.822,8.368
2022-02-14 09:55:00,-0.922,7.792,8.253
2022-02-14 10:00:00,0.463,8.542,8.311
2022-02-14 10:05:00,1.155,9.033,8.455
2022-02-14 10:10:00,1.628,9.473,8.659
2022-02-14 10:15:00,2.061,9.947,8.916
2022-02-14 10:35:00,2.062,10.205,9.174
2022-02-14 10:40:00,1.534,10.133,9.366
2022-02-14 10:45:00,1.712,10.436,9.580
2022-02-14 10:50:00,1.306,10.396,9.743
2022-02-14 10:55:00,1.059,10.405,9.876
2022-02-14 11:00:00,1.556,10.848,10.070
2022-02-14 11:05:00,0.715,10.517,10.160
2022-02-14 11:10:00,-1.176,9.424,10.012
2022-02-14 11:15:00,-3.370,7.906,9.591
2022-02-14 11:20:00,-3.983,7.102,9.093
2022-02-14 11:25:00,-5.211,5.837,8.442
2022-02-14 11:30:00,-7.637,3.669,7.487
2022-02-14 13:35:00,-10.289,1.057,6.201
2022-02-14 13:40:00,-10.129,-0.130,4.935
2022-02-14 13:45:00,-10.603,-1.692,3.610
