dt,open,high,low,close
2022-02-11 09:10:00,4962.327,4963.321,4941.464,4943.451
2022-02-11 09:15:00,4942.458,4950.406,4939.478,4945.438
2022-02-11 09:20:00,4944.445,4947.425,4937.491,4940.471
2022-02-11 09:25:00,4941.464,4944.445,4930.536,4941.464
2022-02-11 09:30:00,4941.464,4946.432,4935.504,4938.484
2022-02-11 09:35:00,4938.484,4945.438,4930.536,4942.458
2022-02-11 09:40:00,4942.458,4953.386,4940.471,4948.419
2022-02-11 09:45:00,4948.419,4958.353,4947.425,4951.399
2022-02-11 09:50:00,4952.392,4953.386,4932.523,4934.510
2022-02-11 09:55:00,4934.510,4945.438,4930.536,4944.445
2022-02-11 10:00:00,4943.451,4954.379,4943.451,4952.392
2022-02-11 10:05:00,4952.392,4971.268,4952.392,4963.321
2022-02-11 10:10:00,4964.314,4964.314,4956.366,4959.347
2022-02-11 10:15:00,4958.353,4963.321,4953.386,4959.347
2022-02-11 10:35:00,4956.366,4966.301,4956.366,4964.314
2022-02-11 10:40:00,4964.314,4967.294,4957.360,4960.340
2022-02-11 10:45:00,4961.334,4967.294,4960.340,4965.307
2022-02-11 10:50:00,4965.307,4966.301,4960.340,4961.334
2022-02-11 10:55:00,4962.327,4964.314,4957.360,4959.347
2022-02-11 11:00:00,4959.347,4964.314,4957.360,4960.340
2022-02-11 11:05:00,4960.340,4964.314,4947.425,4948.419
2022-02-11 11:10:00,4948.419,4950.406,4943.451,4944.445
2022-02-11 11:15:00,4944.445,4944.445,4932.523,4934.510
2022-02-11 11:20:00,4934.510,4940.471,4923.582,4929.543
2022-02-11 11:25:00,4928.549,4946.432,4927.556,4941.464
2022-02-11 11:30:00,4941.464,4951.399,4940.471,4947.425
2022-02-11 13:35:00,4943.451,4949.412,4929.543,4945.438
2022-02-11 13:40:00,4945.438,4967.294,4944.445,4962.327
2022-02-11 13:45:00,4965.307,4967.294,4957.360,4960.340
2022-02-11 13:50:00,4960.340,4973.255,4960.340,4972.262
2022-02-11 13:55:00,4972.262,4975.242,4964.314,4964.314
2022-02-11 14:00:00,4964.314,4965.307,4957.360,4960.340
2022-02-11 14:05:00,4960.340,4960.340,4955.373,4956.366
2022-02-11 14:10:00,4957.360,4960.340,4945.438,4948.419
2022-02-11 14:15:00,4949.412,4962.327,4947.425,4951.399
2022-02-11 14:20:00,4951.399,4954.379,4942.458,4948.419
2022-02-11 14:25:00,4947.425,4950.406,4941.464,4943.451
2022-02-11 14:30:00,4943.451,4944.445,4931.530,4939.478
2022-02-11 14:35:00,4939.478,4943.451,4935.504,4938.484
2022-02-11 14:40:00,4937.491,4943.451,4932.523,4935.504
2022-02-11 14:45:00,4935.504,4937.491,4926.563,4930.536
2022-02-11 14:50:00,4931.530,4942.458,4919.608,4923.582
2022-02-11 14:55:00,4925.569,4928.549,4918.615,4924.576
2022-02-11 15:00:00,4923.582,4927.556,4869.935,4872.916
2022-02-11 21:05:00,4867.948,4868.942,4848.079,4850.066
2022-02-11 21:10:00,4849.073,4851.060,4839.138,4848.079
2022-02-11 21:15:00,4848.079,4864.968,4843.112,4858.014
2022-02-11 21:20:00,4857.020,4862.981,4851.060,4858.014
2022-02-11 21:25:00,4858.014,4859.007,4847.086,4848.079
2022-02-11 21:30:00,4847.086,4851.060,4838.145,4842.119
2022-02-11 21:35:00,4842.119,4846.092,4831.190,4839.138
2022-02-11 21:40:00,4839.138,4846.092,4826.223,4833.177
2022-02-11 21:45:00,4834.171,4841.125,4823.243,4836.158
2022-02-11 21:50:00,4835.164,4840.132,4824.236,4825.230
2022-02-11 21:55:00,4824.236,4829.204,4798.406,4806.354
